drainage,habitat,treatment,sl
Guanapo,High predation,Predator cue absent,16.591
Guanapo,High predation,Predator cue absent,14.628
Guanapo,High predation,Predator cue absent,14.812
Guanapo,High predation,Predator cue absent,16.691
Guanapo,High predation,Predator cue absent,16.045
Guanapo,High predation,Predator cue absent,17.053
Guanapo,High predation,Predator cue absent,16.235
Guanapo,High predation,Predator cue absent,15.812
Guanapo,High predation,Predator cue absent,16.124
Guanapo,High predation,Predator cue absent,14.603
Guanapo,High predation,Predator cue absent,15.772
Guanapo,High predation,Predator cue absent,14.977
Guanapo,High predation,Predator cue absent,15.764
Guanapo,High predation,Predator cue absent,15.344
Guanapo,High predation,Predator cue absent,14.409
Guanapo,High predation,Predator cue absent,15.109
Guanapo,High predation,Predator cue absent,16.154
Guanapo,High predation,Predator cue absent,16.471
Guanapo,High predation,Predator cue absent,14.815
Guanapo,High predation,Predator cue absent,16.882
Guanapo,High predation,Predator cue absent,16.136
Guanapo,High predation,Predator cue absent,16.523
Guanapo,High predation,Predator cue absent,15.972
Guanapo,High predation,Predator cue present,14.581
Guanapo,High predation,Predator cue present,14.34
Guanapo,High predation,Predator cue present,15.843
Guanapo,High predation,Predator cue present,15.572
Guanapo,High predation,Predator cue present,13.971
Guanapo,High predation,Predator cue present,15.533
Guanapo,High predation,Predator cue present,15.383
Guanapo,High predation,Predator cue present,13.701
Guanapo,High predation,Predator cue present,14.811
Guanapo,High predation,Predator cue present,13.867
Guanapo,High predation,Predator cue present,15.412
Guanapo,High predation,Predator cue present,14.309
Guanapo,High predation,Predator cue present,16.34
Guanapo,High predation,Predator cue present,14.508
Guanapo,High predation,Predator cue present,14.508
Guanapo,High predation,Predator cue present,13.983
Guanapo,High predation,Predator cue present,13.699
Guanapo,High predation,Predator cue present,16.387
Guanapo,High predation,Predator cue present,13.803
Guanapo,High predation,Predator cue present,16.124
Guanapo,High predation,Predator cue present,14.086
Guanapo,High predation,Predator cue present,15.271
Guanapo,High predation,Predator cue present,14.987
Guanapo,Low predation,Predator cue absent,15.661
Guanapo,Low predation,Predator cue absent,15.967
Guanapo,Low predation,Predator cue absent,16.108
Guanapo,Low predation,Predator cue absent,15.574
Guanapo,Low predation,Predator cue absent,15.772
Guanapo,Low predation,Predator cue absent,16.243
Guanapo,Low predation,Predator cue absent,17.432
Guanapo,Low predation,Predator cue absent,17.666
Guanapo,Low predation,Predator cue absent,16.906
Guanapo,Low predation,Predator cue absent,17.164
Guanapo,Low predation,Predator cue absent,15.337
Guanapo,Low predation,Predator cue absent,16.755
Guanapo,Low predation,Predator cue absent,15.777
Guanapo,Low predation,Predator cue absent,16.886
Guanapo,Low predation,Predator cue absent,15.564
Guanapo,Low predation,Predator cue present,14.865
Guanapo,Low predation,Predator cue present,14.557
Guanapo,Low predation,Predator cue present,13.126
Guanapo,Low predation,Predator cue present,14.076
Guanapo,Low predation,Predator cue present,15.443
Guanapo,Low predation,Predator cue present,13.998
Guanapo,Low predation,Predator cue present,14.692
Guanapo,Low predation,Predator cue present,14.481
Guanapo,Low predation,Predator cue present,14.918
Guanapo,Low predation,Predator cue present,14.241
Guanapo,Low predation,Predator cue present,14.582
Guanapo,Low predation,Predator cue present,14.7
Guanapo,Low predation,Predator cue present,14.674
Guanapo,Low predation,Predator cue present,14.555
Guanapo,Low predation,Predator cue present,14.413
Yarra,High predation,Predator cue absent,14.817
Yarra,High predation,Predator cue absent,15.961
Yarra,High predation,Predator cue absent,14.606
Yarra,High predation,Predator cue absent,17.294
Yarra,High predation,Predator cue absent,14.205
Yarra,High predation,Predator cue absent,17.46
Yarra,High predation,Predator cue absent,16.053
Yarra,High predation,Predator cue absent,16.755
Yarra,High predation,Predator cue absent,16.293
Yarra,High predation,Predator cue absent,15.71
Yarra,High predation,Predator cue absent,15.972
Yarra,High predation,Predator cue absent,16.372
Yarra,High predation,Predator cue absent,15.492
Yarra,High predation,Predator cue absent,14.596
Yarra,High predation,Predator cue absent,14.237
Yarra,High predation,Predator cue absent,14.75
Yarra,High predation,Predator cue absent,14.873
Yarra,High predation,Predator cue absent,15.502
Yarra,High predation,Predator cue absent,16.51
Yarra,High predation,Predator cue absent,15.206
Yarra,High predation,Predator cue absent,16.429
Yarra,High predation,Predator cue present,15.196
Yarra,High predation,Predator cue present,14.705
Yarra,High predation,Predator cue present,15.418
Yarra,High predation,Predator cue present,15.151
Yarra,High predation,Predator cue present,15.431
Yarra,High predation,Predator cue present,16.481
Yarra,High predation,Predator cue present,15.257
Yarra,High predation,Predator cue present,15.798
Yarra,High predation,Predator cue present,14.648
Yarra,High predation,Predator cue present,15.385
Yarra,High predation,Predator cue present,14.673
Yarra,High predation,Predator cue present,15.646
Yarra,High predation,Predator cue present,15.578
Yarra,High predation,Predator cue present,16.567
Yarra,High predation,Predator cue present,15.898
Yarra,High predation,Predator cue present,15.582
Yarra,High predation,Predator cue present,14.923
Yarra,High predation,Predator cue present,14.102
Yarra,High predation,Predator cue present,18.328
Yarra,High predation,Predator cue present,14.607
