Locality,Phenotype,fertilized ovules per capsule,Total ovules per capsule,Fertilization rate
Large visitor location,Long style,17,18,0.944444444
Large visitor location,Long style,26,28,0.928571429
Large visitor location,Long style,17,28,0.607142857
Large visitor location,Long style,4,6,0.666666667
Large visitor location,Long style,4,6,0.666666667
Large visitor location,Long style,3,11,0.272727273
Large visitor location,Long style,0,11,0
Large visitor location,Long style,12,16,0.75
Large visitor location,Long style,13,13,1
Large visitor location,Long style,9,13,0.692307692
Large visitor location,Long style,0,16,0
Large visitor location,Long style,12,13,0.923076923
Large visitor location,Long style,12,13,0.923076923
Large visitor location,Long style,13,15,0.866666667
Large visitor location,Long style,0,19,0
Large visitor location,Long style,16,19,0.842105263
Large visitor location,Long style,14,19,0.736842105
Large visitor location,Long style,18,18,1
Large visitor location,Long style,13,18,0.722222222
Large visitor location,Long style,14,16,0.875
Large visitor location,Long style,10,16,0.625
Large visitor location,Long style,0,11,0
Large visitor location,Long style,0,10,0
Large visitor location,Long style,17,18,0.944444444
Large visitor location,Long style,8,18,0.444444444
Large visitor location,Long style,13,14,0.928571429
Large visitor location,Long style,13,14,0.928571429
Large visitor location,Long style,10,14,0.714285714
Large visitor location,Long style,3,11,0.272727273
Large visitor location,Long style,4,11,0.363636364
Large visitor location,Long style,0,16,0
Large visitor location,Long style,0,18,0
Large visitor location,Long style,11,12,0.916666667
Small visitor location,Long style,2,18,0.111111111
Small visitor location,Long style,0,18,0
Small visitor location,Long style,0,18,0
Small visitor location,Long style,0,9,0
Small visitor location,Long style,0,9,0
Small visitor location,Long style,0,9,0
Small visitor location,Long style,0,15,0
Small visitor location,Long style,0,15,0
Small visitor location,Long style,0,15,0
Small visitor location,Long style,10,12,0.833333333
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,16,16,1
Small visitor location,Long style,0,16,0
Small visitor location,Long style,0,16,0
Small visitor location,Long style,0,14,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,16,0
Small visitor location,Long style,0,16,0
Small visitor location,Long style,13,16,0.8125
Small visitor location,Long style,10,16,0.625
Small visitor location,Long style,0,16,0
Small visitor location,Long style,0,16,0
Small visitor location,Long style,4,12,0.333333333
Small visitor location,Long style,1,12,0.083333333
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,9,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,9,12,0.75
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,12,0
Small visitor location,Long style,0,10,0
Small visitor location,Long style,0,10,0
Small visitor location,Long style,0,14,0
Small visitor location,Long style,0,14,0
Large visitor location,Short style,4,25,0.16
Large visitor location,Short style,20,22,0.909090909
Large visitor location,Short style,0,18,0
Large visitor location,Short style,0,18,0
Large visitor location,Short style,0,18,0
Large visitor location,Short style,7,20,0.35
Large visitor location,Short style,6,15,0.4
Large visitor location,Short style,8,15,0.533333333
Large visitor location,Short style,0,20,0
Large visitor location,Short style,0,25,0
Large visitor location,Short style,0,24,0
Large visitor location,Short style,13,17,0.764705882
Large visitor location,Short style,0,16,0
Large visitor location,Short style,6,16,0.375
Large visitor location,Short style,0,20,0
Large visitor location,Short style,0,20,0
Large visitor location,Short style,3,15,0.2
Large visitor location,Short style,4,16,0.25
Large visitor location,Short style,3,10,0.3
Large visitor location,Short style,7,18,0.388888889
Large visitor location,Short style,0,18,0
Large visitor location,Short style,0,18,0
Large visitor location,Short style,0,27,0
Large visitor location,Short style,10,27,0.37037037
Large visitor location,Short style,0,21,0
Large visitor location,Short style,1,18,0.055555556
Small visitor location,Short style,13,16,0.8125
Small visitor location,Short style,0,16,0
Small visitor location,Short style,0,16,0
Small visitor location,Short style,19,20,0.95
Small visitor location,Short style,16,20,0.8
Small visitor location,Short style,7,20,0.35
Small visitor location,Short style,10,15,0.666666667
Small visitor location,Short style,2,15,0.133333333
Small visitor location,Short style,0,15,0
Small visitor location,Short style,8,21,0.380952381
Small visitor location,Short style,0,21,0
Small visitor location,Short style,0,21,0
Small visitor location,Short style,16,20,0.8
Small visitor location,Short style,12,20,0.6
Small visitor location,Short style,9,26,0.346153846
Small visitor location,Short style,0,26,0
Small visitor location,Short style,5,24,0.208333333
Small visitor location,Short style,6,24,0.25
Small visitor location,Short style,24,29,0.827586207
Small visitor location,Short style,24,29,0.827586207
Small visitor location,Short style,6,29,0.206896552
Small visitor location,Short style,11,16,0.6875
Small visitor location,Short style,3,16,0.1875
Small visitor location,Short style,2,16,0.125
Small visitor location,Short style,0,16,0
Small visitor location,Short style,17,18,0.944444444
Small visitor location,Short style,16,18,0.888888889
Small visitor location,Short style,8,13,0.615384615
Small visitor location,Short style,0,13,0
Small visitor location,Short style,0,13,0
Small visitor location,Short style,3,17,0.176470588
Small visitor location,Short style,3,17,0.176470588
Small visitor location,Short style,13,23,0.565217391
Small visitor location,Short style,8,23,0.347826087
Small visitor location,Short style,8,16,0.5
Small visitor location,Short style,0,16,0
Small visitor location,Short style,16,20,0.8
Small visitor location,Short style,9,20,0.45
Small visitor location,Short style,10,15,0.666666667
Small visitor location,Short style,6,15,0.4
